path_nbr, x, y, cost, index, parent_index;
2, 4.575589, 0.599936, 4.615643, 2465, 1970;
2, 6.105741, 1.262185, 6.282958, 837, 2465;
2, 7.974104, 1.905221, 8.264072, 452, 837;
2, 9.340582, 1.946013, 9.643421, 26, 452;
2, 11.314746, 1.713745, 11.631202, 578, 26;
2, 12.713348, 1.832682, 13.034852, 1387, 578;
2, 14.396727, 1.922053, 14.720602, 1711, 1387;
2, 16.281320, 2.158581, 16.619980, 35, 1711;
2, 17.320034, 2.098462, 17.660432, 2236, 35;
2, 18.844231, 1.915134, 19.195615, 1889, 2236;
2, 20.280673, 2.129941, 20.675893, 39, 1889;
2, 21.660125, 2.230460, 22.059003, 2034, 39;
2, 22.280137, 2.089226, 22.694897, 41, 2034;
2, 24.279363, 2.034735, 24.699215, 43, 41;
2, 25.279242, 2.019203, 25.699215, 44, 43;
2, 27.279174, 2.013712, 27.699154, 46, 44;
2, 29.277436, 1.947034, 29.698528, 48, 46;
2, 31.277061, 1.913743, 31.698430, 50, 48;
2, 32.276810, 1.891379, 32.698430, 51, 50;
2, 34.276036, 1.897282, 34.697664, 53, 51;
2, 36.275825, 1.878900, 36.697538, 56, 53;
2, 38.275709, 1.880714, 38.697423, 59, 56;
2, 40.275465, 1.849527, 40.697423, 61, 59;
2, 41.537468, 1.837656, 41.959481, 1739, 61;
2, 43.275088, 1.818259, 43.697209, 64, 1739;
2, 45.274807, 1.810294, 45.696956, 68, 64;
2, 46.274724, 1.797435, 46.696956, 71, 68;
2, 47.644368, 1.669848, 48.072530, 1888, 71;
2, 49.263153, 1.669389, 49.691315, 74, 1888;
2, 51.251736, 1.607342, 51.680865, 2787, 74;
2, 52.889485, 1.516467, 53.321133, 1467, 2787;
2, 53.522609, 1.481508, 53.958037, 1923, 1467;
2, 55.236491, 1.421877, 55.672956, 80, 1923;
2, 56.871496, 1.264862, 57.315483, 2669, 80;
2, 57.971851, 1.174629, 58.419532, 279, 2669;
2, 59.890328, 0.997022, 60.346213, 2806, 279;
2, 61.281306, 0.819788, 61.748436, 878, 2806;
2, 62.924421, 0.414926, 63.449649, 1306, 878;
2, 64.837145, 0.373057, 65.362831, 2380, 1306;
2, 65.973802, 0.292413, 66.502345, 1842, 2380;
2, 67.568073, 0.080739, 68.110606, 2627, 1842;
2, 68.371359, 0.169235, 68.918752, 2221, 2627;
2, 70.106829, 0.051152, 70.685206, 172, 2221;
2, 72.006144, -0.284921, 72.614024, 2715, 172;
2, 72.687452, -0.228866, 73.297635, 2800, 2715;
2, 74.393176, -0.073931, 75.010381, 2606, 2800;
2, 75.061370, -0.016735, 75.708601, 1541, 2606;
2, 76.889124, -0.126395, 77.539642, 2811, 1541;
2, 77.251923, -0.145733, 77.902956, 2730, 2811;
2, 79.046343, 0.162002, 79.725857, 609, 2730;
2, 81.029868, 0.416272, 81.828902, 2568, 609;
2, 82.073210, 0.372603, 82.873157, 190, 2568;
2, 83.439381, 0.567253, 84.258292, 2483, 190;
2, 85.072469, 0.355931, 85.904996, 194, 2483;
2, 87.046477, 0.108607, 87.894438, 2584, 194;
2, 88.571037, 0.101074, 89.419015, 1256, 2584;
2, 90.166697, 0.297018, 91.026662, 2585, 1256;
2, 91.268424, 0.343329, 92.129362, 853, 2585;
2, 92.404137, 0.345245, 93.265076, 2613, 853;
2, 94.066366, 0.474130, 94.932295, 208, 2613;
2, 95.822182, 0.567099, 96.690570, 2768, 208;
2, 97.291153, 0.626101, 98.160725, 2757, 2768;
2, 99.037029, 0.680834, 99.988218, 2486, 2757;
2, 100.044143, 0.711498, 101.085854, 216, 2486;
2, 101.625609, 0.681715, 102.667600, 2713, 216;
2, 103.040756, 0.787928, 104.086727, 228, 2713;
2, 105.040373, 0.793272, 106.086833, 234, 228;
2, 106.796401, 0.729708, 107.844011, 1556, 234;
2, 108.021734, 0.707865, 109.069539, 2547, 1556;
2, 109.984391, 0.701173, 111.032207, 242, 2547;
2, 111.984053, 0.702227, 113.032563, 247, 242;
2, 113.983986, 0.714329, 115.032532, 250, 247;
2, 115.848257, 0.720082, 116.896812, 473, 250;
2, 117.511285, 0.761803, 118.560363, 1705, 473;
2, 119.364860, 0.825532, 120.415034, 1969, 1705;
2, 121.100386, 0.773221, 122.151348, 373, 1969;
2, 122.166738, 0.731393, 123.218909, 822, 373;
2, 122.963112, 0.677090, 124.017133, 274, 822;
2, 124.379032, 0.629378, 125.433856, 1586, 274;
2, 125.944918, 0.489976, 127.005935, 280, 1586;
2, 127.150904, 0.472006, 128.212054, 2817, 280;
2, 127.941665, 0.526524, 129.004693, 284, 2817;
2, 129.940517, 0.559314, 131.009253, 290, 284;
2, 131.938062, 0.532486, 133.006978, 299, 290;
2, 133.934675, 0.539817, 135.003605, 301, 299;
2, 134.934666, 0.544044, 136.003605, 305, 301;
2, 136.928598, 0.640178, 137.999853, 311, 305;
2, 138.914334, 0.847719, 139.996405, 964, 311;
2, 140.578904, 0.959794, 141.664743, 1755, 964;
2, 142.428897, 0.937910, 143.514866, 942, 1755;
2, 143.154037, 1.219787, 144.292865, 2176, 942;
2, 144.495057, 1.392885, 145.645011, 2771, 2176;
2, 145.816572, 1.279851, 146.971351, 935, 2771;
2, 147.709413, 1.391199, 148.867921, 1078, 935;
2, 149.056361, 1.445339, 150.215956, 2694, 1078;
2, 150.393726, 1.462058, 151.553426, 360, 2694;
2, 151.872599, 1.348358, 153.036886, 2084, 360;
2, 153.122616, 1.321509, 154.287191, 1231, 2084;
2, 155.060321, 1.473948, 156.230882, 2434, 1231;
2, 156.457366, 1.378398, 157.631192, 2390, 2434;
2, 157.527724, 1.320882, 158.779505, 421, 2390;
2, 159.461716, 1.359284, 160.713877, 2748, 421;
2, 160.453616, 1.174800, 161.722788, 451, 2748;
2, 161.581285, 1.282108, 162.936756, 2499, 451;
2, 163.374057, 1.439850, 164.736455, 2534, 2499;
2, 164.927245, 1.268650, 166.299049, 2744, 2534;
2, 166.731413, 1.181312, 168.105330, 2634, 2744;
2, 168.403822, 1.168920, 169.777785, 2751, 2634;
2, 170.140361, 0.941173, 171.529195, 1972, 2751;
2, 171.643653, 0.975511, 173.115526, 1683, 1972;
2, 173.390785, 0.908669, 174.863936, 2020, 1683;
2, 174.432971, 0.903606, 175.906134, 923, 2020;
2, 176.245647, 0.463730, 177.771418, 2146, 923;
2, 177.705916, 0.277076, 179.243569, 1427, 2146;
2, 179.617479, -0.140851, 181.200285, 2240, 1427;
2, 181.153496, -0.394660, 182.757130, 2827, 2240;
3, 0.000000, 0.000000, 0.000000, 0, -1;
3, 0.999729, 0.023262, 1.000000, 1, 0;
3, 2.390570, 0.077631, 2.391903, 795, 1;
3, 3.360748, 0.135255, 3.363791, 2370, 795;
3, 4.993990, 0.137239, 4.997033, 5, 2370;
3, 6.993784, 0.130844, 6.997010, 7, 5;
3, 8.805754, 0.253987, 8.813159, 1569, 7;
3, 10.295241, 0.119787, 10.308679, 2467, 1569;
3, 12.083255, 0.537366, 12.144808, 1100, 2467;
3, 12.652407, 0.502448, 12.715030, 2653, 1100;
3, 14.212544, 0.801392, 14.303549, 3219, 2653;
3, 15.096469, 1.031924, 15.217042, 3069, 3219;
3, 16.800542, 1.340410, 16.948813, 3228, 3069;
3, 18.484295, 1.513778, 18.641468, 3256, 3228;
3, 19.483288, 1.622450, 19.646353, 3032, 3256;
3, 21.212009, 1.731617, 21.463186, 3134, 3032;
3, 22.280137, 2.089226, 22.589588, 41, 3134;
3, 24.279363, 2.034735, 24.699215, 43, 41;
3, 25.279242, 2.019203, 25.699215, 44, 43;
3, 27.279174, 2.013712, 27.699154, 46, 44;
3, 29.277436, 1.947034, 29.698528, 48, 46;
3, 31.277061, 1.913743, 31.698430, 50, 48;
3, 32.276810, 1.891379, 32.698430, 51, 50;
3, 34.276036, 1.897282, 34.697664, 53, 51;
3, 36.275825, 1.878900, 36.697538, 56, 53;
3, 38.275709, 1.880714, 38.697423, 59, 56;
3, 40.275465, 1.849527, 40.697423, 61, 59;
3, 41.537468, 1.837656, 41.959481, 1739, 61;
3, 43.275088, 1.818259, 43.697209, 64, 1739;
3, 45.274807, 1.810294, 45.696956, 68, 64;
3, 46.274724, 1.797435, 46.696956, 71, 68;
3, 47.644368, 1.669848, 48.072530, 1888, 71;
3, 49.263153, 1.669389, 49.691315, 74, 1888;
3, 51.251736, 1.607342, 51.680865, 2787, 74;
3, 52.889485, 1.516467, 53.321133, 1467, 2787;
3, 53.522609, 1.481508, 53.958037, 1923, 1467;
3, 55.236491, 1.421877, 55.672956, 80, 1923;
3, 56.871496, 1.264862, 57.315483, 2669, 80;
3, 57.971851, 1.174629, 58.419532, 279, 2669;
3, 59.380445, 1.130713, 59.831267, 714, 279;
3, 61.132442, 1.145633, 61.583328, 139, 714;
3, 62.565540, 1.090203, 63.017497, 2619, 139;
3, 63.928000, 0.832053, 64.404198, 1409, 2619;
3, 65.698436, 0.764137, 66.177315, 341, 1409;
3, 66.422391, 0.631232, 66.913369, 1921, 341;
3, 68.378503, 0.508612, 68.873321, 661, 1921;
3, 70.210943, 0.273258, 70.720812, 2963, 661;
3, 72.087200, 0.047559, 72.610596, 174, 2963;
3, 73.863231, -0.264152, 74.413774, 3291, 174;
3, 74.393176, -0.073931, 74.976824, 2606, 3291;
3, 76.086868, 0.092794, 76.739842, 178, 2606;
3, 77.613437, 0.268566, 78.276497, 3136, 178;
3, 78.758830, 0.193702, 79.424335, 1911, 3136;
3, 80.522105, 0.264553, 81.189032, 3352, 1911;
3, 81.937263, 0.299057, 82.604611, 3366, 3352;
3, 83.439381, 0.567253, 84.130484, 2483, 3366;
3, 85.072469, 0.355931, 85.904996, 194, 2483;
3, 87.046477, 0.108607, 87.894438, 2584, 194;
3, 88.571037, 0.101074, 89.419015, 1256, 2584;
3, 90.166697, 0.297018, 91.026662, 2585, 1256;
3, 91.268424, 0.343329, 92.129362, 853, 2585;
3, 92.404137, 0.345245, 93.265076, 2613, 853;
3, 94.066366, 0.474130, 94.932295, 208, 2613;
3, 95.822182, 0.567099, 96.690570, 2768, 208;
3, 97.177236, 0.955965, 98.100317, 1441, 2768;
3, 99.094306, 1.149746, 100.027156, 3182, 1441;
3, 100.044143, 0.711498, 101.073222, 216, 3182;
3, 101.625609, 0.681715, 102.667600, 2713, 216;
3, 103.040756, 0.787928, 104.086727, 228, 2713;
3, 105.040373, 0.793272, 106.086833, 234, 228;
3, 106.796401, 0.729708, 107.844011, 1556, 234;
3, 108.021734, 0.707865, 109.069539, 2547, 1556;
3, 109.984391, 0.701173, 111.032207, 242, 2547;
3, 110.035166, 0.704731, 111.083106, 2993, 242;
3, 111.984053, 0.702227, 113.031995, 247, 2993;
3, 113.983986, 0.714329, 115.032532, 250, 247;
3, 115.848257, 0.720082, 116.896812, 473, 250;
3, 117.511285, 0.761803, 118.560363, 1705, 473;
3, 119.364860, 0.825532, 120.415034, 1969, 1705;
3, 121.100386, 0.773221, 122.151348, 373, 1969;
3, 122.166738, 0.731393, 123.218909, 822, 373;
3, 122.963112, 0.677090, 124.017133, 274, 822;
3, 124.379032, 0.629378, 125.433856, 1586, 274;
3, 125.944918, 0.489976, 127.005935, 280, 1586;
3, 127.150904, 0.472006, 128.212054, 2817, 280;
3, 127.941665, 0.526524, 129.004693, 284, 2817;
3, 129.940517, 0.559314, 131.009253, 290, 284;
3, 131.938062, 0.532486, 133.006978, 299, 290;
3, 133.934675, 0.539817, 135.003605, 301, 299;
3, 134.934666, 0.544044, 136.003605, 305, 301;
3, 136.928598, 0.640178, 137.999853, 311, 305;
3, 138.927516, 0.609920, 139.999000, 318, 311;
3, 140.927343, 0.591143, 141.998915, 321, 318;
3, 141.927316, 0.583718, 142.998915, 329, 321;
3, 143.927230, 0.583496, 144.998829, 346, 329;
3, 145.921146, 0.509438, 146.994121, 353, 346;
3, 147.472860, 0.464379, 148.546488, 819, 353;
3, 149.198253, 0.423086, 150.272375, 3467, 819;
3, 150.485195, 0.466250, 151.560041, 384, 3467;
3, 151.833881, 0.399752, 152.932043, 2662, 384;
3, 153.479044, 0.811352, 154.627913, 2854, 2662;
3, 155.311850, 0.943626, 156.465486, 401, 2854;
3, 157.097972, 0.630612, 158.278828, 3274, 401;
3, 158.447165, 0.612284, 159.628145, 1710, 3274;
3, 160.060946, 0.750992, 161.259162, 3249, 1710;
3, 162.047054, 0.529747, 163.257554, 3077, 3249;
3, 163.814152, 0.860324, 165.055308, 3371, 3077;
3, 165.405130, 0.857047, 166.646289, 1956, 3371;
3, 166.417414, 0.909843, 167.659949, 3394, 1956;
3, 167.776991, 0.874131, 169.019996, 1946, 3394;
3, 169.008714, 0.754618, 170.303415, 3329, 1946;
3, 170.625753, 0.786388, 171.920766, 539, 3329;
3, 171.057298, 0.726936, 172.356387, 3419, 539;
3, 172.951686, 0.827362, 174.253435, 3211, 3419;
3, 174.105186, 0.910635, 175.409937, 3462, 3211;
3, 175.890160, 0.470795, 177.248303, 3435, 3462;
3, 177.276435, 0.453181, 178.704805, 3453, 3435;
3, 179.256058, 0.256449, 180.694179, 3246, 3453;
3, 181.130554, -0.309263, 182.652180, 3468, 3246;
4, 0.000000, 0.000000, 0.000000, 0, -1;
4, 1.999727, 0.025479, 1.999889, 2, 0;
4, 3.248272, 0.072140, 3.249306, 6814, 2;
4, 4.993990, 0.137239, 4.996237, 5, 6814;
4, 6.993784, 0.130844, 6.997010, 7, 5;
4, 8.751735, 0.088592, 8.755468, 7235, 7;
4, 9.367126, 0.100002, 9.370965, 7244, 7235;
4, 11.299326, 0.124113, 11.303316, 5399, 7244;
4, 13.009807, 0.124489, 13.019509, 2595, 5399;
4, 14.196613, 0.164689, 14.206996, 5467, 2595;
4, 15.054660, 0.191089, 15.065449, 2844, 5467;
4, 16.280496, 0.280646, 16.294552, 7135, 2844;
4, 17.657315, 0.328741, 17.672211, 7031, 7135;
4, 19.351931, 0.296144, 19.373019, 6379, 7031;
4, 21.103230, 0.347955, 21.126311, 133, 6379;
4, 22.624213, 0.444280, 22.650341, 7481, 133;
4, 23.522038, 0.539906, 23.553245, 2780, 7481;
4, 24.947152, 0.730515, 24.991626, 7476, 2780;
4, 26.725348, 0.846086, 26.773574, 5515, 7476;
4, 28.515949, 1.133869, 28.587154, 7754, 5515;
4, 30.319555, 1.039644, 30.393220, 7466, 7754;
4, 31.704650, 1.049805, 31.778378, 6595, 7466;
4, 33.115920, 1.093408, 33.190583, 5330, 6595;
4, 34.441489, 1.322638, 34.549564, 4774, 5330;
4, 35.166634, 1.421616, 35.281433, 7131, 4774;
4, 36.889593, 1.481612, 37.005436, 6644, 7131;
4, 38.808129, 1.518002, 38.936515, 192, 6644;
4, 40.554040, 1.639963, 40.686680, 7856, 192;
4, 41.803465, 1.704469, 41.937769, 7984, 7856;
4, 43.063708, 1.692466, 43.198070, 871, 7984;
4, 44.977883, 1.601317, 45.133338, 7203, 871;
4, 45.786011, 1.469590, 45.952131, 5508, 7203;
4, 47.431281, 1.267939, 47.609713, 7394, 5508;
4, 48.994830, 1.126154, 49.179677, 7929, 7394;
4, 50.157969, 0.941079, 50.357449, 7604, 7929;
4, 51.788159, 0.936390, 51.993905, 7434, 7604;
4, 53.534251, 0.782042, 53.773083, 2856, 7434;
4, 54.571430, 0.684275, 54.814859, 7554, 2856;
4, 55.876887, 0.502094, 56.132967, 7915, 7554;
4, 57.195392, 0.298643, 57.467076, 7138, 7915;
4, 58.415745, 0.321857, 58.709517, 7329, 7138;
4, 60.212784, 0.223436, 60.509249, 6968, 7329;
4, 62.134342, 0.177947, 62.431346, 7723, 6968;
4, 64.028041, 0.134204, 64.325550, 1238, 7723;
4, 65.820315, 0.355646, 66.145818, 7639, 1238;
4, 67.568073, 0.080739, 67.915064, 2627, 7639;
4, 69.468772, 0.107223, 69.815948, 7902, 2627;
4, 70.799595, 0.305159, 71.161410, 6390, 7902;
4, 72.468820, 0.460680, 72.915496, 7373, 6390;
4, 74.194468, 0.557276, 74.643846, 8094, 7373;
4, 76.128206, 0.436297, 76.581364, 7893, 8094;
4, 77.644866, 0.240014, 78.113123, 7202, 7893;
4, 79.325796, 0.150855, 79.824399, 6401, 7202;
4, 80.978355, 0.220565, 81.479720, 5994, 6401;
4, 82.916876, 0.208048, 83.418282, 8070, 5994;
4, 84.599493, 0.206419, 85.100900, 8068, 8070;
4, 85.589178, 0.176400, 86.091670, 814, 8068;
4, 87.422312, 0.326571, 87.933408, 7063, 814;
4, 89.362482, 0.331796, 89.873585, 7678, 7063;
4, 90.987365, 0.216084, 91.502583, 399, 7678;
4, 92.727794, -0.033953, 93.260880, 7841, 399;
4, 94.415180, 0.006298, 94.948747, 7563, 7841;
4, 95.366934, -0.059605, 95.902779, 7927, 7563;
4, 97.304418, -0.265529, 97.851176, 4476, 7927;
4, 99.031889, -0.225556, 99.617321, 7430, 4476;
4, 100.917475, 0.170994, 101.544155, 4172, 7430;
4, 102.523330, 0.378219, 103.163325, 7781, 4172;
4, 104.010983, 0.545731, 104.660380, 7265, 7781;
4, 105.424147, 0.592875, 106.096288, 2853, 7265;
4, 106.844910, 0.764243, 107.527349, 7293, 2853;
4, 108.821820, 0.770307, 109.504269, 6762, 7293;
4, 110.724110, 0.761924, 111.438074, 6784, 6762;
4, 112.398778, 0.891317, 113.117733, 1337, 6784;
4, 114.380755, 1.044702, 115.105636, 8098, 1337;
4, 115.669941, 1.127767, 116.397495, 5749, 8098;
4, 117.193199, 1.281642, 117.930301, 7541, 5749;
4, 118.503361, 1.369906, 119.243433, 7331, 7541;
4, 119.373674, 1.482618, 120.121014, 7548, 7331;
4, 121.219792, 1.710724, 121.981171, 3439, 7548;
4, 123.097142, 1.639129, 123.859885, 7651, 3439;
4, 124.084098, 1.528039, 124.853073, 7598, 7651;
4, 125.315080, 1.438843, 126.087283, 7718, 7598;
4, 127.034439, 1.418464, 127.806763, 6685, 7718;
4, 128.764374, 1.359776, 129.537693, 7753, 6685;
4, 130.567169, 1.358328, 131.340488, 7959, 7753;
4, 132.337254, 1.311302, 133.111198, 419, 7959;
4, 134.058542, 1.135488, 134.841442, 8002, 419;
4, 135.912830, 1.150374, 136.695790, 1621, 8002;
4, 136.348379, 1.167080, 137.131659, 8057, 1621;
4, 138.211824, 0.599024, 139.079764, 5868, 8057;
4, 140.086265, 0.547317, 141.098300, 7120, 5868;
4, 141.719311, 0.597808, 142.732126, 5010, 7120;
4, 143.065425, 0.623768, 144.078491, 7288, 5010;
4, 144.393569, 0.522970, 145.410454, 5869, 7288;
4, 146.042249, 0.516136, 147.059148, 7463, 5869;
4, 147.472860, 0.464379, 148.490695, 819, 7463;
4, 148.368295, 0.517203, 149.387687, 7553, 819;
4, 149.208312, 0.443794, 150.230905, 4285, 7553;
4, 150.710259, 0.491165, 151.733598, 7843, 4285;
4, 151.905416, 0.314086, 152.941803, 7565, 7843;
4, 153.716981, 0.214705, 154.759667, 5947, 7565;
4, 155.486108, -0.070486, 156.551635, 8050, 5947;
4, 156.652242, -0.058432, 157.717831, 1051, 8050;
4, 158.194502, 0.078589, 159.295042, 6153, 1051;
4, 160.169467, 0.228097, 161.275658, 5259, 6153;
4, 161.788399, 0.223217, 162.894597, 7449, 5259;
4, 162.724053, 0.132596, 163.834629, 6769, 7449;
4, 164.615290, 0.198927, 165.728828, 1662, 6769;
4, 166.364519, 0.359732, 167.485433, 6839, 1662;
4, 167.312342, 0.375278, 168.433383, 5258, 6839;
4, 168.700352, 0.400198, 169.821617, 7326, 5258;
4, 170.403744, 0.379321, 171.525136, 3975, 7326;
