s, x, y;
38.800000, 38.383342, 2.594407;
38.850000, 38.433197, 2.598219;
38.900000, 38.483035, 2.602241;
38.950000, 38.532858, 2.606436;
39.000000, 38.582670, 2.610765;
39.050000, 38.632474, 2.615192;
39.100000, 38.682273, 2.619677;
39.150000, 38.732069, 2.624184;
39.200000, 38.781867, 2.628675;
39.250000, 38.831670, 2.633112;
39.300000, 38.881480, 2.637457;
39.350000, 38.931302, 2.641672;
39.400000, 38.981138, 2.645721;
39.450000, 39.030990, 2.649564;
39.500000, 39.080860, 2.653165;
39.550000, 39.130750, 2.656485;
39.600000, 39.180660, 2.659486;
39.650000, 39.230590, 2.662131;
39.700000, 39.280539, 2.664381;
39.750000, 39.330506, 2.666198;
39.800000, 39.380487, 2.667545;
39.850000, 39.430480, 2.668384;
39.900000, 39.480479, 2.668676;
39.950000, 39.530478, 2.668384;
40.000000, 39.580469, 2.667470;
40.050000, 39.630444, 2.665896;
40.100000, 39.680392, 2.663625;
40.150000, 39.730313, 2.660823;
40.200000, 39.780232, 2.657978;
40.250000, 39.830150, 2.655112;
40.300000, 39.880067, 2.652227;
40.350000, 39.929982, 2.649325;
40.400000, 39.979897, 2.646406;
40.450000, 40.029811, 2.643472;
40.500000, 40.079724, 2.640525;
40.550000, 40.129636, 2.637566;
40.600000, 40.179548, 2.634596;
40.650000, 40.229459, 2.631617;
40.700000, 40.279370, 2.628630;
40.750000, 40.329280, 2.625637;
40.800000, 40.379190, 2.622639;
40.850000, 40.429100, 2.619637;
40.900000, 40.479010, 2.616633;
40.950000, 40.528920, 2.613629;
41.000000, 40.578829, 2.610625;
41.050000, 40.628739, 2.607622;
41.100000, 40.678649, 2.604624;
41.150000, 40.728559, 2.601630;
41.200000, 40.778470, 2.598642;
41.250000, 40.828381, 2.595663;
41.300000, 40.878293, 2.592692;
41.350000, 40.928205, 2.589731;
41.400000, 40.978118, 2.586783;
41.450000, 41.028032, 2.583847;
41.500000, 41.077946, 2.580927;
41.550000, 41.127862, 2.578022;
41.600000, 41.177779, 2.575135;
41.650000, 41.227696, 2.572267;
41.700000, 41.277615, 2.569419;
41.750000, 41.327535, 2.566593;
41.800000, 41.377456, 2.563789;
41.850000, 41.427379, 2.561011;
41.900000, 41.477303, 2.558258;
41.950000, 41.527229, 2.555533;
42.000000, 41.577156, 2.552836;
42.050000, 41.627085, 2.550169;
42.100000, 41.677016, 2.547534;
42.150000, 41.726948, 2.544932;
42.200000, 41.776882, 2.542364;
42.250000, 41.826818, 2.539832;
42.300000, 41.876755, 2.537338;
42.350000, 41.926695, 2.534881;
42.400000, 41.976637, 2.532465;
42.450000, 42.026580, 2.530090;
42.500000, 42.076526, 2.527758;
42.550000, 42.126473, 2.525470;
42.600000, 42.176422, 2.523213;
42.650000, 42.226372, 2.520960;
42.700000, 42.276321, 2.518709;
42.750000, 42.326270, 2.516462;
42.800000, 42.376220, 2.514217;
42.850000, 42.426170, 2.511975;
42.900000, 42.476119, 2.509734;
42.950000, 42.526069, 2.507496;
43.000000, 42.576019, 2.505260;
43.050000, 42.625969, 2.503026;
43.100000, 42.675919, 2.500793;
43.150000, 42.725870, 2.498561;
43.200000, 42.775820, 2.496331;
43.250000, 42.825770, 2.494101;
43.300000, 42.875720, 2.491873;
43.350000, 42.925671, 2.489645;
43.400000, 42.975621, 2.487418;
43.450000, 43.025572, 2.485191;
43.500000, 43.075522, 2.482964;
43.550000, 43.125472, 2.480737;
43.600000, 43.175423, 2.478510;
43.650000, 43.225373, 2.476282;
43.700000, 43.275323, 2.474054;
43.750000, 43.325274, 2.471826;
43.800000, 43.375224, 2.469596;
43.850000, 43.425174, 2.467365;
43.900000, 43.475124, 2.465133;
43.950000, 43.525074, 2.462900;
44.000000, 43.575024, 2.460665;
44.050000, 43.624974, 2.458428;
44.100000, 43.674924, 2.456189;
44.150000, 43.724874, 2.453948;
44.200000, 43.774824, 2.451705;
44.250000, 43.824773, 2.449459;
44.300000, 43.874723, 2.447210;
44.350000, 43.924672, 2.444959;
44.400000, 43.974621, 2.442705;
44.450000, 44.024570, 2.440447;
44.500000, 44.074519, 2.438186;
44.550000, 44.124468, 2.435922;
44.600000, 44.174416, 2.433653;
44.650000, 44.224364, 2.431381;
44.700000, 44.274313, 2.429105;
44.750000, 44.324261, 2.426824;
44.800000, 44.374208, 2.424540;
44.850000, 44.424156, 2.422250;
44.900000, 44.474103, 2.419956;
44.950000, 44.524050, 2.417656;
45.000000, 44.573997, 2.415352;
45.050000, 44.623944, 2.413042;
45.100000, 44.673890, 2.410727;
45.150000, 44.723836, 2.408406;
45.200000, 44.773782, 2.406079;
45.250000, 44.823728, 2.403747;
45.300000, 44.873673, 2.401408;
45.350000, 44.923618, 2.399062;
45.400000, 44.973562, 2.396705;
45.450000, 45.023506, 2.394329;
45.500000, 45.073448, 2.391934;
45.550000, 45.123390, 2.389523;
45.600000, 45.173331, 2.387096;
45.650000, 45.223272, 2.384655;
45.700000, 45.273212, 2.382202;
45.750000, 45.323151, 2.379737;
45.800000, 45.373089, 2.377262;
45.850000, 45.423028, 2.374778;
45.900000, 45.472966, 2.372286;
45.950000, 45.522903, 2.369789;
46.000000, 45.572840, 2.367287;
46.050000, 45.622778, 2.364781;
46.100000, 45.672715, 2.362273;
46.150000, 45.722652, 2.359764;
46.200000, 45.772589, 2.357255;
46.250000, 45.822526, 2.354748;
46.300000, 45.872463, 2.352245;
46.350000, 45.922401, 2.349745;
46.400000, 45.972338, 2.347252;
46.450000, 46.022277, 2.344765;
46.500000, 46.072215, 2.342287;
46.550000, 46.122154, 2.339819;
46.600000, 46.172094, 2.337361;
46.650000, 46.222034, 2.334916;
46.700000, 46.271975, 2.332485;
46.750000, 46.321916, 2.330068;
46.800000, 46.371859, 2.327668;
46.850000, 46.421802, 2.325285;
46.900000, 46.471746, 2.322922;
46.950000, 46.521691, 2.320578;
47.000000, 46.571637, 2.318256;
47.050000, 46.621584, 2.315957;
47.100000, 46.671532, 2.313682;
47.150000, 46.721482, 2.311433;
47.200000, 46.771432, 2.309211;
47.250000, 46.821384, 2.307017;
47.300000, 46.871337, 2.304852;
47.350000, 46.921292, 2.302718;
47.400000, 46.971248, 2.300616;
47.450000, 47.021205, 2.298548;
47.500000, 47.071163, 2.296514;
47.550000, 47.121123, 2.294516;
47.600000, 47.171085, 2.292556;
47.650000, 47.221048, 2.290635;
47.700000, 47.271013, 2.288753;
47.750000, 47.320978, 2.286894;
47.800000, 47.370944, 2.285047;
47.850000, 47.420910, 2.283209;
47.900000, 47.470877, 2.281376;
47.950000, 47.520843, 2.279545;
48.000000, 47.570809, 2.277713;
48.050000, 47.620776, 2.275875;
48.100000, 47.670742, 2.274029;
48.150000, 47.720707, 2.272170;
48.200000, 47.770672, 2.270297;
48.250000, 47.820636, 2.268404;
48.300000, 47.870599, 2.266488;
48.350000, 47.920562, 2.264546;
48.400000, 47.970523, 2.262575;
48.450000, 48.020483, 2.260584;
48.500000, 48.070443, 2.258583;
48.550000, 48.120403, 2.256575;
48.600000, 48.170362, 2.254559;
48.650000, 48.220321, 2.252535;
48.700000, 48.270280, 2.250505;
48.750000, 48.320238, 2.248469;
48.800000, 48.370197, 2.246428;
48.850000, 48.420155, 2.244381;
48.900000, 48.470113, 2.242330;
48.950000, 48.520070, 2.240275;
49.000000, 48.570028, 2.238217;
49.050000, 48.619986, 2.236156;
49.100000, 48.669943, 2.234093;
49.150000, 48.719900, 2.232027;
49.200000, 48.769858, 2.229961;
49.250000, 48.819815, 2.227894;
49.300000, 48.869772, 2.225827;
49.350000, 48.919729, 2.223760;
49.400000, 48.969687, 2.221694;
49.450000, 49.019644, 2.219629;
49.500000, 49.069601, 2.217567;
49.550000, 49.119559, 2.215507;
49.600000, 49.169517, 2.213450;
49.650000, 49.219475, 2.211397;
49.700000, 49.269433, 2.209347;
49.750000, 49.319391, 2.207303;
49.800000, 49.369349, 2.205264;
49.850000, 49.419308, 2.203230;
49.900000, 49.469267, 2.201203;
49.950000, 49.519226, 2.199182;
50.000000, 49.569185, 2.197169;
50.050000, 49.619145, 2.195164;
50.100000, 49.669105, 2.193167;
50.150000, 49.719066, 2.191179;
50.200000, 49.769026, 2.189201;
50.250000, 49.818988, 2.187233;
50.300000, 49.868949, 2.185275;
50.350000, 49.918911, 2.183328;
50.400000, 49.968874, 2.181393;
50.450000, 50.018837, 2.179470;
50.500000, 50.068800, 2.177560;
50.550000, 50.118764, 2.175663;
50.600000, 50.168729, 2.173780;
50.650000, 50.218694, 2.171912;
50.700000, 50.268660, 2.170058;
50.750000, 50.318626, 2.168219;
50.800000, 50.368593, 2.166397;
50.850000, 50.418560, 2.164591;
50.900000, 50.468528, 2.162802;
50.950000, 50.518497, 2.161030;
51.000000, 50.568466, 2.159276;
51.050000, 50.618435, 2.157535;
51.100000, 50.668405, 2.155800;
51.150000, 50.718376, 2.154073;
51.200000, 50.768346, 2.152352;
51.250000, 50.818316, 2.150636;
51.300000, 50.868287, 2.148927;
51.350000, 50.918258, 2.147222;
51.400000, 50.968229, 2.145523;
51.450000, 51.018201, 2.143827;
51.500000, 51.068172, 2.142135;
51.550000, 51.118143, 2.140446;
51.600000, 51.168115, 2.138761;
51.650000, 51.218087, 2.137077;
51.700000, 51.268058, 2.135396;
51.750000, 51.318030, 2.133715;
51.800000, 51.368002, 2.132036;
51.850000, 51.417974, 2.130357;
51.900000, 51.467945, 2.128679;
51.950000, 51.517917, 2.127000;
52.000000, 51.567889, 2.125320;
52.050000, 51.617861, 2.123639;
52.100000, 51.667832, 2.121956;
52.150000, 51.717804, 2.120271;
52.200000, 51.767776, 2.118583;
52.250000, 51.817747, 2.116892;
52.300000, 51.867718, 2.115197;
52.350000, 51.917689, 2.113498;
52.400000, 51.967660, 2.111795;
52.450000, 52.017631, 2.110087;
52.500000, 52.067602, 2.108374;
52.550000, 52.117572, 2.106654;
52.600000, 52.167542, 2.104928;
52.650000, 52.217512, 2.103196;
52.700000, 52.267482, 2.101456;
52.750000, 52.317452, 2.099708;
52.800000, 52.367421, 2.097952;
52.850000, 52.417390, 2.096188;
52.900000, 52.467358, 2.094414;
52.950000, 52.517326, 2.092631;
53.000000, 52.567294, 2.090838;
53.050000, 52.617262, 2.089035;
53.100000, 52.667229, 2.087220;
53.150000, 52.717195, 2.085395;
53.200000, 52.767162, 2.083557;
53.250000, 52.817127, 2.081707;
53.300000, 52.867093, 2.079844;
53.350000, 52.917057, 2.077968;
53.400000, 52.967022, 2.076079;
53.450000, 53.016985, 2.074175;
53.500000, 53.066949, 2.072257;
53.550000, 53.116911, 2.070324;
53.600000, 53.166873, 2.068376;
53.650000, 53.216835, 2.066429;
53.700000, 53.266798, 2.064487;
53.750000, 53.316760, 2.062551;
53.800000, 53.366723, 2.060619;
53.850000, 53.416686, 2.058691;
53.900000, 53.466649, 2.056767;
53.950000, 53.516612, 2.054846;
54.000000, 53.566575, 2.052929;
54.050000, 53.616538, 2.051015;
54.100000, 53.666502, 2.049103;
54.150000, 53.716465, 2.047193;
54.200000, 53.766429, 2.045285;
54.250000, 53.816392, 2.043379;
54.300000, 53.866356, 2.041473;
54.350000, 53.916320, 2.039569;
54.400000, 53.966284, 2.037665;
54.450000, 54.016247, 2.035761;
54.500000, 54.066211, 2.033857;
54.550000, 54.116175, 2.031952;
54.600000, 54.166138, 2.030046;
54.650000, 54.216102, 2.028139;
54.700000, 54.266066, 2.026231;
54.750000, 54.316029, 2.024320;
54.800000, 54.365992, 2.022408;
54.850000, 54.415956, 2.020492;
54.900000, 54.465919, 2.018574;
54.950000, 54.515882, 2.016652;
55.000000, 54.565845, 2.014727;
55.050000, 54.615808, 2.012798;
55.100000, 54.665770, 2.010864;
55.150000, 54.715733, 2.008926;
55.200000, 54.765695, 2.006983;
55.250000, 54.815657, 2.005034;
55.300000, 54.865619, 2.003079;
55.350000, 54.915580, 2.001119;
55.400000, 54.965542, 1.999152;
55.450000, 55.015503, 1.997178;
55.500000, 55.065463, 1.995198;
55.550000, 55.115424, 1.993209;
55.600000, 55.165384, 1.991214;
55.650000, 55.215344, 1.989209;
55.700000, 55.265303, 1.987197;
55.750000, 55.315262, 1.985176;
55.800000, 55.365221, 1.983145;
55.850000, 55.415180, 1.981105;
55.900000, 55.465138, 1.979056;
55.950000, 55.515095, 1.976996;
56.000000, 55.565052, 1.974925;
56.050000, 55.615009, 1.972844;
56.100000, 55.664965, 1.970752;
56.150000, 55.714921, 1.968653;
56.200000, 55.764877, 1.966550;
56.250000, 55.814832, 1.964442;
56.300000, 55.864788, 1.962330;
56.350000, 55.914743, 1.960214;
56.400000, 55.964698, 1.958094;
56.450000, 56.014653, 1.955971;
56.500000, 56.064608, 1.953844;
56.550000, 56.114562, 1.951715;
56.600000, 56.164517, 1.949583;
56.650000, 56.214471, 1.947449;
56.700000, 56.264426, 1.945313;
56.750000, 56.314380, 1.943175;
56.800000, 56.364334, 1.941036;
56.850000, 56.414288, 1.938896;
56.900000, 56.464242, 1.936755;
56.950000, 56.514196, 1.934614;
57.000000, 56.564151, 1.932472;
57.050000, 56.614105, 1.930330;
57.100000, 56.664059, 1.928189;
57.150000, 56.714013, 1.926048;
57.200000, 56.763967, 1.923908;
57.250000, 56.813921, 1.921769;
57.300000, 56.863876, 1.919632;
57.350000, 56.913830, 1.917496;
57.400000, 56.963784, 1.915363;
57.450000, 57.013739, 1.913232;
57.500000, 57.063694, 1.911104;
57.550000, 57.113649, 1.908978;
57.600000, 57.163603, 1.906856;
57.650000, 57.213559, 1.904737;
57.700000, 57.263514, 1.902622;
57.750000, 57.313469, 1.900511;
57.800000, 57.363425, 1.898405;
57.850000, 57.413381, 1.896303;
57.900000, 57.463337, 1.894206;
57.950000, 57.513293, 1.892114;
58.000000, 57.563249, 1.890028;
58.050000, 57.613206, 1.887948;
58.100000, 57.663163, 1.885874;
58.150000, 57.713120, 1.883806;
58.200000, 57.763078, 1.881744;
58.250000, 57.813036, 1.879690;
58.300000, 57.862994, 1.877643;
58.350000, 57.912952, 1.875604;
58.400000, 57.962911, 1.873572;
58.450000, 58.012870, 1.871548;
58.500000, 58.062829, 1.869533;
58.550000, 58.112789, 1.867527;
58.600000, 58.162749, 1.865529;
58.650000, 58.212709, 1.863541;
58.700000, 58.262670, 1.861562;
58.750000, 58.312631, 1.859594;
58.800000, 58.362593, 1.857635;
58.850000, 58.412554, 1.855669;
58.900000, 58.462514, 1.853656;
58.950000, 58.512472, 1.851602;
59.000000, 58.562428, 1.849512;
59.050000, 58.612383, 1.847394;
59.100000, 58.662337, 1.845253;
59.150000, 58.712291, 1.843096;
59.200000, 58.762244, 1.840929;
59.250000, 58.812196, 1.838758;
59.300000, 58.862149, 1.836590;
59.350000, 58.912103, 1.834432;
59.400000, 58.962057, 1.832289;
59.450000, 59.012012, 1.830168;
59.500000, 59.061968, 1.828076;
59.550000, 59.111926, 1.826018;
59.600000, 59.161885, 1.824001;
59.650000, 59.211846, 1.822032;
59.700000, 59.261810, 1.820117;
59.750000, 59.311775, 1.818261;
59.800000, 59.361743, 1.816473;
59.850000, 59.411714, 1.814757;
59.900000, 59.461687, 1.813120;
59.950000, 59.511663, 1.811570;
60.000000, 59.561642, 1.810111;
60.050000, 59.611623, 1.808750;
60.100000, 59.661606, 1.807457;
60.150000, 59.711590, 1.806164;
60.200000, 59.761573, 1.804869;
60.250000, 59.811556, 1.803573;
60.300000, 59.861539, 1.802277;
60.350000, 59.911522, 1.800979;
60.400000, 59.961505, 1.799680;
60.450000, 60.011489, 1.798381;
60.500000, 60.061472, 1.797080;
60.550000, 60.111455, 1.795779;
60.600000, 60.161438, 1.794477;
60.650000, 60.211421, 1.793175;
60.700000, 60.261404, 1.791872;
60.750000, 60.311387, 1.790569;
60.800000, 60.361370, 1.789265;
60.850000, 60.411353, 1.787961;
60.900000, 60.461336, 1.786657;
60.950000, 60.511319, 1.785352;
61.000000, 60.561302, 1.784048;
61.050000, 60.611285, 1.782744;
61.100000, 60.661268, 1.781439;
61.150000, 60.711251, 1.780135;
61.200000, 60.761234, 1.778831;
61.250000, 60.811217, 1.777528;
61.300000, 60.861200, 1.776225;
61.350000, 60.911183, 1.774922;
61.400000, 60.961166, 1.773619;
61.450000, 61.011149, 1.772318;
61.500000, 61.061132, 1.771017;
61.550000, 61.111115, 1.769717;
61.600000, 61.161098, 1.768417;
61.650000, 61.211081, 1.767118;
61.700000, 61.261064, 1.765821;
61.750000, 61.311048, 1.764524;
61.800000, 61.361031, 1.763229;
61.850000, 61.411014, 1.761935;
61.900000, 61.460997, 1.760641;
61.950000, 61.510981, 1.759350;
62.000000, 61.560964, 1.758059;
62.050000, 61.610947, 1.756771;
62.100000, 61.660931, 1.755483;
62.150000, 61.710914, 1.754198;
62.200000, 61.760898, 1.752914;
62.250000, 61.810881, 1.751631;
62.300000, 61.860865, 1.750351;
62.350000, 61.910849, 1.749073;
62.400000, 61.960832, 1.747796;
62.450000, 62.010816, 1.746522;
62.500000, 62.060800, 1.745249;
62.550000, 62.110784, 1.743979;
62.600000, 62.160768, 1.742711;
62.650000, 62.210752, 1.741446;
62.700000, 62.260736, 1.740183;
62.750000, 62.310720, 1.738922;
62.800000, 62.360704, 1.737664;
62.850000, 62.410688, 1.736409;
62.900000, 62.460672, 1.735153;
62.950000, 62.510656, 1.733881;
63.000000, 62.560640, 1.732596;
63.050000, 62.610623, 1.731296;
63.100000, 62.660606, 1.729984;
63.150000, 62.710588, 1.728661;
63.200000, 62.760570, 1.727328;
63.250000, 62.810552, 1.725985;
63.300000, 62.860534, 1.724635;
63.350000, 62.910516, 1.723279;
63.400000, 62.960497, 1.721917;
63.450000, 63.010479, 1.720552;
63.500000, 63.060460, 1.719183;
63.550000, 63.110441, 1.717812;
63.600000, 63.160422, 1.716441;
63.650000, 63.210403, 1.715071;
63.700000, 63.260385, 1.713702;
63.750000, 63.310366, 1.712337;
63.800000, 63.360347, 1.710975;
63.850000, 63.410329, 1.709619;
63.900000, 63.460311, 1.708270;
63.950000, 63.510293, 1.706928;
64.000000, 63.560275, 1.705595;
64.050000, 63.610258, 1.704273;
64.100000, 63.660240, 1.702962;
64.150000, 63.710224, 1.701663;
64.200000, 63.760207, 1.700378;
64.250000, 63.810191, 1.699108;
64.300000, 63.860175, 1.697854;
64.350000, 63.910160, 1.696617;
64.400000, 63.960145, 1.695399;
64.450000, 64.010131, 1.694200;
64.500000, 64.060117, 1.693023;
64.550000, 64.110103, 1.691867;
64.600000, 64.160091, 1.690734;
64.650000, 64.210078, 1.689626;
64.700000, 64.260067, 1.688544;
64.750000, 64.310055, 1.687488;
64.800000, 64.360045, 1.686461;
64.850000, 64.410035, 1.685462;
64.900000, 64.460026, 1.684494;
64.950000, 64.510017, 1.683558;
65.000000, 64.560009, 1.682658;
65.050000, 64.610002, 1.681846;
65.100000, 64.659997, 1.681131;
65.150000, 64.709993, 1.680506;
65.200000, 64.759990, 1.679962;
65.250000, 64.809988, 1.679492;
65.300000, 64.859986, 1.679089;
65.350000, 64.909985, 1.678746;
65.400000, 64.959984, 1.678454;
65.450000, 65.009984, 1.678207;
65.500000, 65.059983, 1.677997;
65.550000, 65.109983, 1.677817;
65.600000, 65.159983, 1.677658;
65.650000, 65.209982, 1.677514;
65.700000, 65.259982, 1.677377;
65.750000, 65.309982, 1.677240;
65.800000, 65.359982, 1.677094;
65.850000, 65.409982, 1.676934;
65.900000, 65.459981, 1.676751;
65.950000, 65.509981, 1.676537;
66.000000, 65.559980, 1.676286;
66.050000, 65.609979, 1.675989;
66.100000, 65.659978, 1.675640;
66.150000, 65.709976, 1.675231;
66.200000, 65.759974, 1.674754;
66.250000, 65.809971, 1.674202;
66.300000, 65.859967, 1.673567;
66.350000, 65.909962, 1.672843;
66.400000, 65.959955, 1.672021;
66.450000, 66.009946, 1.671094;
66.500000, 66.059936, 1.670055;
66.550000, 66.109922, 1.668895;
66.600000, 66.159905, 1.667609;
66.650000, 66.209885, 1.666187;
66.700000, 66.259861, 1.664624;
66.750000, 66.309831, 1.662911;
66.800000, 66.359796, 1.661040;
66.850000, 66.409755, 1.659005;
66.900000, 66.459706, 1.656798;
66.950000, 66.509649, 1.654412;
67.000000, 66.559583, 1.651838;
67.050000, 66.609506, 1.649070;
67.100000, 66.659418, 1.646101;
67.150000, 66.709318, 1.642939;
67.200000, 66.759212, 1.639692;
67.250000, 66.809103, 1.636385;
67.300000, 66.858989, 1.633020;
67.350000, 66.908872, 1.629601;
67.400000, 66.958752, 1.626132;
67.450000, 67.008628, 1.622616;
67.500000, 67.058501, 1.619056;
67.550000, 67.108371, 1.615456;
67.600000, 67.158239, 1.611820;
67.650000, 67.208104, 1.608150;
67.700000, 67.257967, 1.604450;
67.750000, 67.307828, 1.600723;
67.800000, 67.357687, 1.596974;
67.850000, 67.407545, 1.593205;
67.900000, 67.457401, 1.589420;
67.950000, 67.507257, 1.585621;
68.000000, 67.557112, 1.581814;
68.050000, 67.606966, 1.578001;
68.100000, 67.656820, 1.574185;
68.150000, 67.706675, 1.570370;
68.200000, 67.756529, 1.566559;
68.250000, 67.806384, 1.562756;
68.300000, 67.856240, 1.558964;
68.350000, 67.906098, 1.555187;
68.400000, 67.955956, 1.551428;
68.450000, 68.005816, 1.547691;
68.500000, 68.055678, 1.543978;
68.550000, 68.105542, 1.540293;
68.600000, 68.155409, 1.536641;
68.650000, 68.205277, 1.533023;
68.700000, 68.255149, 1.529444;
68.750000, 68.305024, 1.525907;
68.800000, 68.354902, 1.522415;
68.850000, 68.404783, 1.518973;
68.900000, 68.454668, 1.515582;
68.950000, 68.504557, 1.512247;
69.000000, 68.554449, 1.508972;
69.050000, 68.604346, 1.505759;
69.100000, 68.654247, 1.502612;
69.150000, 68.704152, 1.499534;
69.200000, 68.754062, 1.496530;
69.250000, 68.803976, 1.493601;
69.300000, 68.853895, 1.490753;
69.350000, 68.903818, 1.487987;
69.400000, 68.953746, 1.485308;
69.450000, 69.003679, 1.482720;
69.500000, 69.053617, 1.480224;
69.550000, 69.103559, 1.477826;
69.600000, 69.153507, 1.475528;
69.650000, 69.203458, 1.473334;
69.700000, 69.253415, 1.471247;
69.750000, 69.303376, 1.469270;
69.800000, 69.353341, 1.467408;
69.850000, 69.403311, 1.465664;
69.900000, 69.453284, 1.464040;
69.950000, 69.503262, 1.462541;
70.000000, 69.553243, 1.461170;
70.050000, 69.603221, 1.459709;
70.100000, 69.653193, 1.458015;
70.150000, 69.703169, 1.456488;
70.200000, 69.753160, 1.455534;
70.250000, 69.803159, 1.455386;
70.300000, 69.853159, 1.455325;
70.350000, 69.903159, 1.455219;
70.400000, 69.953159, 1.455069;
70.450000, 70.003158, 1.454880;
70.500000, 70.053158, 1.454653;
70.550000, 70.103157, 1.454392;
70.600000, 70.153156, 1.454099;
70.650000, 70.203155, 1.453777;
70.700000, 70.253154, 1.453429;
70.750000, 70.303153, 1.453057;
70.800000, 70.353151, 1.452664;
70.850000, 70.403149, 1.452254;
70.900000, 70.453148, 1.451829;
70.950000, 70.503146, 1.451391;
71.000000, 70.553144, 1.450943;
71.050000, 70.603142, 1.450489;
71.100000, 70.653140, 1.450031;
71.150000, 70.703137, 1.449571;
71.200000, 70.753135, 1.449114;
71.250000, 70.803133, 1.448660;
71.300000, 70.853131, 1.448213;
71.350000, 70.903129, 1.447777;
71.400000, 70.953128, 1.447353;
71.450000, 71.003126, 1.446944;
71.500000, 71.053124, 1.446553;
71.550000, 71.103123, 1.446184;
71.600000, 71.153122, 1.445838;
71.650000, 71.203121, 1.445519;
71.700000, 71.253120, 1.445229;
71.750000, 71.303119, 1.444971;
71.800000, 71.353119, 1.444748;
71.850000, 71.403118, 1.444562;
71.900000, 71.453118, 1.444417;
71.950000, 71.503118, 1.444316;
72.000000, 71.553118, 1.444260;
72.050000, 71.603118, 1.444252;
72.100000, 71.653118, 1.444297;
72.150000, 71.703118, 1.444395;
72.200000, 71.753118, 1.444551;
72.250000, 71.803117, 1.444766;
72.300000, 71.853117, 1.445044;
72.350000, 71.903115, 1.445388;
72.400000, 71.953114, 1.445799;
72.450000, 72.003111, 1.446282;
72.500000, 72.053108, 1.446838;
72.550000, 72.103104, 1.447470;
72.600000, 72.153099, 1.448182;
72.650000, 72.203093, 1.448976;
72.700000, 72.253085, 1.449855;
72.750000, 72.303076, 1.450821;
72.800000, 72.353065, 1.451878;
72.850000, 72.403051, 1.453028;
72.900000, 72.453036, 1.454273;
72.950000, 72.503018, 1.455590;
73.000000, 72.553002, 1.456876;
73.050000, 72.602986, 1.458123;
73.100000, 72.652972, 1.459334;
73.150000, 72.702958, 1.460514;
73.200000, 72.752945, 1.461664;
73.250000, 72.802932, 1.462788;
73.300000, 72.852920, 1.463890;
73.350000, 72.902908, 1.464972;
73.400000, 72.952897, 1.466038;
73.450000, 73.002886, 1.467091;
73.500000, 73.052875, 1.468134;
73.550000, 73.102864, 1.469170;
73.600000, 73.152853, 1.470203;
73.650000, 73.202843, 1.471235;
73.700000, 73.252832, 1.472270;
73.750000, 73.302821, 1.473311;
73.800000, 73.352810, 1.474362;
73.850000, 73.402799, 1.475425;
73.900000, 73.452787, 1.476503;
73.950000, 73.502775, 1.477601;
74.000000, 73.552763, 1.478720;
74.050000, 73.602749, 1.479864;
74.100000, 73.652736, 1.481037;
74.150000, 73.702721, 1.482242;
74.200000, 73.752706, 1.483481;
74.250000, 73.802690, 1.484758;
74.300000, 73.852672, 1.486076;
74.350000, 73.902654, 1.487439;
74.400000, 73.952634, 1.488849;
74.450000, 74.002612, 1.490310;
74.500000, 74.052589, 1.491824;
74.550000, 74.102565, 1.493396;
74.600000, 74.152538, 1.495028;
74.650000, 74.202509, 1.496724;
74.700000, 74.252478, 1.498486;
74.750000, 74.302445, 1.500318;
74.800000, 74.352408, 1.502223;
74.850000, 74.402369, 1.504204;
74.900000, 74.452327, 1.506264;
74.950000, 74.502281, 1.508407;
75.000000, 74.552231, 1.510631;
75.050000, 74.602180, 1.512898;
75.100000, 74.652127, 1.515197;
75.150000, 74.702073, 1.517526;
75.200000, 74.752017, 1.519882;
75.250000, 74.801960, 1.522264;
75.300000, 74.851902, 1.524667;
75.350000, 74.901844, 1.527091;
75.400000, 74.951784, 1.529531;
75.450000, 75.001724, 1.531986;
75.500000, 75.051663, 1.534453;
75.550000, 75.101602, 1.536928;
75.600000, 75.151540, 1.539411;
75.650000, 75.201478, 1.541898;
75.700000, 75.251416, 1.544386;
75.750000, 75.301354, 1.546873;
75.800000, 75.351292, 1.549357;
75.850000, 75.401231, 1.551834;
75.900000, 75.451170, 1.554303;
75.950000, 75.501110, 1.556759;
76.000000, 75.551050, 1.559202;
76.050000, 75.600991, 1.561629;
76.100000, 75.650933, 1.564036;
76.150000, 75.700876, 1.566421;
76.200000, 75.750820, 1.568782;
76.250000, 75.800766, 1.571116;
76.300000, 75.850713, 1.573420;
76.350000, 75.900661, 1.575692;
76.400000, 75.950611, 1.577930;
76.450000, 76.000563, 1.580130;
76.500000, 76.050516, 1.582290;
76.550000, 76.100471, 1.584407;
76.600000, 76.150428, 1.586479;
76.650000, 76.200387, 1.588504;
76.700000, 76.250348, 1.590478;
76.750000, 76.300311, 1.592400;
76.800000, 76.350276, 1.594265;
76.850000, 76.400244, 1.596073;
76.900000, 76.450213, 1.597820;
76.950000, 76.500185, 1.599504;
77.000000, 76.550159, 1.601122;
77.050000, 76.600135, 1.602671;
77.100000, 76.650112, 1.604171;
77.150000, 76.700084, 1.605859;
77.200000, 76.750046, 1.607784;
77.250000, 76.800001, 1.609923;
77.300000, 76.849946, 1.612254;
77.350000, 76.899884, 1.614755;
77.400000, 76.949813, 1.617403;
77.450000, 76.999736, 1.620178;
77.500000, 77.049653, 1.623055;
77.550000, 77.099566, 1.626014;
77.600000, 77.149475, 1.629032;
