s, x, y;
8.850000, 8.589182, -0.437690;
8.900000, 8.638852, -0.431960;
8.950000, 8.688523, -0.426228;
9.000000, 8.738193, -0.420493;
9.050000, 8.787862, -0.414756;
9.100000, 8.837532, -0.409017;
9.150000, 8.887201, -0.403276;
9.200000, 8.936870, -0.397534;
9.250000, 8.986540, -0.391792;
9.300000, 9.036209, -0.386048;
9.350000, 9.085878, -0.380305;
9.400000, 9.135547, -0.374561;
9.450000, 9.185216, -0.368818;
9.500000, 9.234885, -0.363076;
9.550000, 9.284554, -0.357335;
9.600000, 9.334224, -0.351595;
9.650000, 9.383893, -0.345857;
9.700000, 9.433563, -0.340121;
9.750000, 9.483233, -0.334388;
9.800000, 9.532904, -0.328658;
9.850000, 9.582575, -0.322930;
9.900000, 9.632246, -0.317206;
9.950000, 9.681918, -0.311486;
10.000000, 9.731590, -0.305770;
10.050000, 9.781263, -0.300058;
10.100000, 9.830936, -0.294351;
10.150000, 9.880610, -0.288649;
10.200000, 9.930284, -0.282953;
10.250000, 9.979959, -0.277262;
10.300000, 10.029635, -0.271578;
10.350000, 10.079312, -0.265900;
10.400000, 10.128989, -0.260228;
10.450000, 10.178667, -0.254564;
10.500000, 10.228346, -0.248908;
10.550000, 10.278026, -0.243259;
10.600000, 10.327707, -0.237618;
10.650000, 10.377389, -0.231986;
10.700000, 10.427071, -0.226362;
10.750000, 10.476755, -0.220748;
10.800000, 10.526440, -0.215143;
10.850000, 10.576126, -0.209547;
10.900000, 10.625813, -0.203962;
10.950000, 10.675501, -0.198388;
11.000000, 10.725191, -0.192824;
11.050000, 10.774881, -0.187271;
11.100000, 10.824573, -0.181730;
11.150000, 10.874267, -0.176201;
11.200000, 10.923961, -0.170679;
11.250000, 10.973653, -0.165136;
11.300000, 11.023342, -0.159569;
11.350000, 11.073029, -0.153982;
11.400000, 11.122714, -0.148377;
11.450000, 11.172397, -0.142756;
11.500000, 11.222078, -0.137122;
11.550000, 11.271759, -0.131479;
11.600000, 11.321438, -0.125827;
11.650000, 11.371117, -0.120171;
11.700000, 11.420796, -0.114513;
11.750000, 11.470475, -0.108855;
11.800000, 11.520154, -0.103200;
11.850000, 11.569834, -0.097551;
11.900000, 11.619515, -0.091911;
11.950000, 11.669197, -0.086281;
12.000000, 11.718881, -0.080665;
12.050000, 11.768566, -0.075066;
12.100000, 11.818254, -0.069486;
12.150000, 11.867944, -0.063927;
12.200000, 11.917637, -0.058393;
12.250000, 11.967332, -0.052886;
12.300000, 12.017031, -0.047408;
12.350000, 12.066734, -0.041963;
12.400000, 12.116440, -0.036553;
12.450000, 12.166151, -0.031180;
12.500000, 12.215866, -0.025848;
12.550000, 12.265585, -0.020559;
12.600000, 12.315310, -0.015316;
12.650000, 12.365039, -0.010121;
12.700000, 12.414774, -0.004976;
12.750000, 12.464513, 0.000121;
12.800000, 12.514254, 0.005205;
12.850000, 12.563996, 0.010281;
12.900000, 12.613738, 0.015349;
12.950000, 12.663481, 0.020411;
13.000000, 12.713225, 0.025466;
13.050000, 12.762969, 0.030516;
13.100000, 12.812714, 0.035561;
13.150000, 12.862460, 0.040601;
13.200000, 12.912205, 0.045637;
13.250000, 12.961951, 0.050669;
13.300000, 13.011698, 0.055699;
13.350000, 13.061444, 0.060726;
13.400000, 13.111191, 0.065751;
13.450000, 13.160938, 0.070775;
13.500000, 13.210685, 0.075799;
13.550000, 13.260432, 0.080823;
13.600000, 13.310179, 0.085847;
13.650000, 13.359926, 0.090872;
13.700000, 13.409673, 0.095898;
13.750000, 13.459419, 0.100927;
13.800000, 13.509165, 0.105959;
13.850000, 13.558911, 0.110994;
13.900000, 13.608657, 0.116032;
13.950000, 13.658402, 0.121076;
14.000000, 13.708146, 0.126124;
14.050000, 13.757890, 0.131177;
14.100000, 13.807633, 0.136237;
14.150000, 13.857376, 0.141304;
14.200000, 13.907118, 0.146378;
14.250000, 13.956859, 0.151459;
14.300000, 14.006599, 0.156549;
14.350000, 14.056339, 0.161648;
14.400000, 14.106077, 0.166756;
14.450000, 14.155814, 0.171875;
14.500000, 14.205551, 0.177004;
14.550000, 14.255286, 0.182144;
14.600000, 14.305020, 0.187296;
14.650000, 14.354752, 0.192461;
14.700000, 14.404483, 0.197638;
14.750000, 14.454213, 0.202829;
14.800000, 14.503942, 0.208033;
14.850000, 14.553668, 0.213252;
14.900000, 14.603394, 0.218487;
14.950000, 14.653117, 0.223737;
15.000000, 14.702839, 0.229003;
15.050000, 14.752559, 0.234286;
15.100000, 14.802277, 0.239587;
15.150000, 14.851994, 0.244908;
15.200000, 14.901708, 0.250247;
15.250000, 14.951420, 0.255603;
15.300000, 15.001131, 0.260975;
15.350000, 15.050839, 0.266363;
15.400000, 15.100547, 0.271764;
15.450000, 15.150253, 0.277177;
15.500000, 15.199958, 0.282602;
15.550000, 15.249661, 0.288037;
15.600000, 15.299364, 0.293481;
15.650000, 15.349066, 0.298932;
15.700000, 15.398767, 0.304390;
15.750000, 15.448468, 0.309853;
15.800000, 15.498168, 0.315319;
15.850000, 15.547868, 0.320789;
15.900000, 15.597568, 0.326260;
15.950000, 15.647268, 0.331731;
16.000000, 15.696968, 0.337201;
16.050000, 15.746668, 0.342669;
16.100000, 15.796368, 0.348133;
16.150000, 15.846069, 0.353593;
16.200000, 15.895771, 0.359047;
16.250000, 15.945473, 0.364494;
16.300000, 15.995177, 0.369933;
16.350000, 16.044881, 0.375362;
16.400000, 16.094587, 0.380780;
16.450000, 16.144294, 0.386186;
16.500000, 16.194002, 0.391579;
16.550000, 16.243712, 0.396958;
16.600000, 16.293423, 0.402320;
16.650000, 16.343137, 0.407666;
16.700000, 16.392852, 0.412994;
16.750000, 16.442570, 0.418303;
16.800000, 16.492289, 0.423590;
16.850000, 16.542011, 0.428857;
16.900000, 16.591735, 0.434100;
16.950000, 16.641462, 0.439318;
17.000000, 16.691192, 0.444512;
17.050000, 16.740924, 0.449678;
17.100000, 16.790659, 0.454817;
17.150000, 16.840398, 0.459926;
17.200000, 16.890139, 0.465005;
17.250000, 16.939884, 0.470053;
17.300000, 16.989632, 0.475067;
17.350000, 17.039383, 0.480048;
17.400000, 17.089138, 0.484993;
17.450000, 17.138896, 0.489902;
17.500000, 17.188658, 0.494773;
17.550000, 17.238424, 0.499605;
17.600000, 17.288194, 0.504401;
17.650000, 17.337962, 0.509204;
17.700000, 17.387730, 0.514022;
17.750000, 17.437496, 0.518855;
17.800000, 17.487260, 0.523701;
17.850000, 17.537024, 0.528560;
17.900000, 17.586786, 0.533430;
17.950000, 17.636547, 0.538310;
18.000000, 17.686308, 0.543200;
18.050000, 17.736067, 0.548098;
18.100000, 17.785826, 0.553003;
18.150000, 17.835584, 0.557915;
18.200000, 17.885342, 0.562833;
18.250000, 17.935099, 0.567755;
18.300000, 17.984856, 0.572680;
18.350000, 18.034612, 0.577608;
18.400000, 18.084369, 0.582537;
18.450000, 18.134125, 0.587467;
18.500000, 18.183881, 0.592397;
18.550000, 18.233638, 0.597324;
18.600000, 18.283395, 0.602250;
18.650000, 18.333152, 0.607172;
18.700000, 18.382909, 0.612090;
18.750000, 18.432668, 0.617002;
18.800000, 18.482426, 0.621907;
18.850000, 18.532186, 0.626806;
18.900000, 18.581946, 0.631696;
18.950000, 18.631707, 0.636576;
19.000000, 18.681470, 0.641447;
19.050000, 18.731233, 0.646305;
19.100000, 18.780997, 0.651152;
19.150000, 18.830763, 0.655985;
19.200000, 18.880531, 0.660804;
19.250000, 18.930299, 0.665607;
19.300000, 18.980070, 0.670395;
19.350000, 19.029842, 0.675165;
19.400000, 19.079615, 0.679916;
19.450000, 19.129391, 0.684649;
19.500000, 19.179168, 0.689361;
19.550000, 19.228948, 0.694051;
19.600000, 19.278729, 0.698720;
19.650000, 19.328513, 0.703365;
19.700000, 19.378299, 0.707986;
19.750000, 19.428087, 0.712582;
19.800000, 19.477878, 0.717152;
19.850000, 19.527671, 0.721694;
19.900000, 19.577467, 0.726209;
19.950000, 19.627266, 0.730694;
20.000000, 19.677067, 0.735148;
20.050000, 19.726871, 0.739572;
20.100000, 19.776677, 0.743964;
20.150000, 19.826487, 0.748323;
20.200000, 19.876299, 0.752652;
20.250000, 19.926114, 0.756954;
20.300000, 19.975931, 0.761229;
20.350000, 20.025750, 0.765479;
20.400000, 20.075571, 0.769707;
20.450000, 20.125394, 0.773913;
20.500000, 20.175218, 0.778100;
20.550000, 20.225044, 0.782268;
20.600000, 20.274871, 0.786421;
20.650000, 20.324700, 0.790558;
20.700000, 20.374529, 0.794683;
20.750000, 20.424360, 0.798796;
20.800000, 20.474191, 0.802900;
20.850000, 20.524023, 0.806996;
20.900000, 20.573856, 0.811085;
20.950000, 20.623688, 0.815170;
21.000000, 20.673522, 0.819252;
21.050000, 20.723355, 0.823332;
21.100000, 20.773188, 0.827412;
21.150000, 20.823021, 0.831495;
21.200000, 20.872854, 0.835581;
21.250000, 20.922686, 0.839673;
21.300000, 20.972518, 0.843771;
21.350000, 21.022349, 0.847878;
21.400000, 21.072179, 0.851995;
21.450000, 21.122008, 0.856125;
21.500000, 21.171836, 0.860267;
21.550000, 21.221663, 0.864426;
21.600000, 21.271489, 0.868600;
21.650000, 21.321312, 0.872794;
21.700000, 21.371134, 0.877008;
21.750000, 21.420955, 0.881243;
21.800000, 21.470773, 0.885503;
21.850000, 21.520589, 0.889787;
21.900000, 21.570403, 0.894098;
21.950000, 21.620214, 0.898438;
22.000000, 21.670023, 0.902808;
22.050000, 21.719829, 0.907210;
22.100000, 21.769632, 0.911645;
22.150000, 21.819431, 0.916116;
22.200000, 21.869228, 0.920623;
22.250000, 21.919021, 0.925169;
22.300000, 21.968810, 0.929755;
22.350000, 22.018595, 0.934383;
22.400000, 22.068377, 0.939054;
22.450000, 22.118154, 0.943770;
22.500000, 22.167926, 0.948533;
