x, y, cost, index, parent_index;
22.938249, 14.379854, 9.717334, 131, 8;
21.254281, 20.748904, 8.960364, 132, 71;
1.043802, 18.067981, 13.328848, 133, 76;
20.287976, 19.500554, 7.408959, 134, 19;
18.863973, 16.201820, 5.248042, 135, 5;
10.773947, 0.499209, 31.562889, 136, 124;
3.578543, 15.384711, 11.275609, 137, 123;
14.400796, 19.139800, 1.208215, 138, 0;
10.078265, 15.303464, 5.152025, 139, 10;
2.520101, 4.249011, 22.044109, 140, 35;
1.858651, 8.207387, 18.603431, 141, 32;
12.270708, 0.597731, 33.055908, 142, 125;
1.058544, 14.796625, 13.863319, 143, 137;
7.925477, 0.460967, 28.715553, 144, 95;
1.286245, 8.605164, 18.791071, 145, 32;
1.377827, 8.715866, 18.655365, 146, 32;
13.630690, -0.035078, 34.469166, 147, 136;
15.054094, -0.508281, 35.969166, 148, 147;
10.579938, 19.010113, 3.597210, 149, 7;
4.921484, 19.795758, 9.961395, 150, 48;
-2.333397, 8.254495, 21.111803, 151, 65;
16.520792, -0.822603, 37.464643, 152, 147;
0.728102, 12.533565, 15.529512, 153, 23;
0.144381, 7.437505, 20.424251, 154, 145;
18.014590, -0.958862, 38.963754, 155, 148;
22.751684, 20.660676, 10.132144, 156, 134;
9.712561, 1.108382, 30.546328, 157, 124;
5.295049, -1.379089, 27.938651, 158, 87;
3.530271, -0.828253, 27.171304, 159, 83;
5.848735, 0.987645, 26.516089, 160, 83;
2.055325, 21.737993, 13.716167, 161, 109;
-0.952643, 4.427745, 23.856854, 162, 51;
9.756221, -0.020513, 30.551576, 163, 144;
14.813756, 21.496933, 3.601249, 164, 138;
2.828380, 3.287072, 23.054239, 165, 140;
8.973002, 18.733603, 5.227762, 166, 149;
13.582393, 18.634025, 0.759200, 167, 0;
9.103664, 17.131145, 4.973030, 168, 10;
3.713304, 20.871977, 11.579402, 169, 150;
8.334552, 15.163161, 6.485770, 170, 12;
12.023598, 0.391238, 32.817196, 171, 136;
10.811612, 21.622782, 4.826580, 172, 67;
11.539468, 16.599961, 2.830958, 173, 0;
17.803067, 14.345326, 5.371255, 174, 129;
21.861884, 16.966036, 8.297369, 175, 25;
2.191925, 13.773760, 13.266976, 176, 18;
19.655569, 21.464871, 8.599207, 177, 31;
5.784497, -0.510200, 27.397840, 178, 83;
-1.949431, 15.817519, 16.358319, 179, 63;
13.710851, -0.776790, 34.869295, 180, 171;
8.081581, 19.688979, 6.186157, 181, 149;
1.516830, 9.970828, 17.857869, 182, 29;
-3.614993, 7.475065, 22.584635, 183, 73;
-1.346765, 2.767510, 25.425342, 184, 45;
4.010473, -1.902865, 28.348327, 185, 159;
-0.182831, 8.969030, 19.293154, 186, 59;
4.885118, 18.249850, 9.250157, 187, 48;
3.794992, 5.117012, 21.201150, 188, 35;
-1.421821, 13.071536, 16.794034, 189, 84;
18.613170, 0.416530, 39.896410, 190, 152;
10.905056, 15.600228, 4.014996, 191, 173;
-3.013833, 14.248853, 17.974856, 192, 91;
22.302812, 20.105932, 9.512776, 193, 134;
-2.637601, 7.921962, 21.562379, 194, 65;
8.677093, 1.226526, 29.354518, 195, 160;
7.460773, 1.024643, 28.128552, 196, 160;
9.561607, -0.893237, 30.782438, 197, 144;
21.852373, 19.745297, 8.992385, 198, 134;
20.110935, 0.498375, 41.396410, 199, 190;
21.605593, 0.371892, 42.889166, 200, 190;
23.103419, 0.452617, 44.389166, 201, 200;
24.603246, 0.429825, 45.887379, 202, 200;
-1.107399, 15.195002, 15.969497, 203, 63;
26.103043, 0.454524, 47.387379, 204, 202;
18.162449, -0.849794, 39.106525, 205, 152;
27.115166, -0.652547, 48.622571, 206, 202;
28.615140, -0.643589, 50.122571, 207, 206;
30.089849, -0.917876, 51.609063, 208, 206;
23.440984, 16.266346, 10.024542, 209, 175;
31.585057, -0.798073, 53.096503, 210, 207;
33.084928, -0.778401, 57.596503, 211, 210;
31.574347, -2.298035, 53.636025, 212, 208;
34.582878, -0.700014, 62.094777, 213, 210;
36.076433, -0.838923, 66.572853, 214, 211;
-8.702703, -0.047815, 34.416356, 215, 102;
-1.061102, 16.316572, 15.359277, 216, 63;
37.573484, -0.744923, 71.067607, 217, 213;
-1.892601, 20.035204, 16.510834, 218, 60;
39.059371, -0.539641, 75.566597, 219, 214;
40.556177, -0.441804, 80.061773, 220, 217;
18.246632, 0.412758, 39.587056, 221, 152;
42.056018, -0.419972, 84.563703, 222, 219;
19.990064, 15.700888, 6.476998, 223, 3;
18.987253, 15.316504, 5.665937, 224, 2;
0.102614, 19.047030, 14.169801, 225, 76;
40.466019, -0.903785, 79.758289, 226, 217;
43.550206, -0.551885, 89.049931, 227, 220;
0.948547, 21.961619, 14.551135, 228, 169;
0.777989, 2.580374, 24.360874, 229, 72;
17.217754, 15.695292, 3.967022, 230, 129;
17.045471, 14.239499, 5.116524, 231, 129;
10.773659, -0.669873, 31.758575, 232, 163;
42.565070, 0.035254, 86.656859, 233, 226;
1.078465, 17.599130, 13.235276, 234, 112;
1.763333, 12.837105, 14.247589, 235, 20;
26.914880, -0.667806, 48.446372, 236, 202;
45.033704, -0.773772, 93.559598, 237, 222;
46.533613, -0.790362, 98.028697, 238, 227;
19.622432, 20.511019, 7.713771, 239, 19;
48.033477, -0.770215, 102.558923, 240, 237;
-2.032772, 21.528640, 17.896317, 241, 218;
1.916044, 13.684134, 13.540414, 242, 18;
49.408394, -1.369885, 106.826534, 243, 238;
50.907868, -1.330157, 111.344189, 244, 240;
52.407806, -1.316514, 115.826194, 245, 243;
-2.840692, 14.871870, 17.651460, 246, 216;
53.907403, -1.281746, 120.343966, 247, 244;
12.943131, 14.659685, 3.503743, 248, 44;
-8.964228, 0.078322, 34.706711, 249, 215;
55.407402, -1.280014, 124.825648, 250, 245;
56.907357, -1.291590, 129.343877, 251, 247;
26.222859, 0.976699, 47.596828, 252, 202;
6.235075, 0.062016, 27.316165, 253, 83;
