path_nbr, x, y, cost, index, parent_index;
1, 179.397504, 0.558704, 181.783275, 1692, 873;
2, 0.000000, -1.000000, 0.000000, 0, -1;
2, 1.999692, -0.965199, 1.999995, 2, 0;
2, 3.999597, -0.949934, 3.999958, 4, 2;
2, 5.999143, -0.927156, 5.999633, 6, 4;
2, 6.999125, -0.921230, 6.999633, 7, 6;
2, 8.394946, -0.892563, 8.395748, 1336, 7;
2, 9.276391, -0.851366, 9.278155, 1521, 1336;
2, 10.987046, -0.760094, 10.991244, 11, 1521;
2, 12.986783, -0.739107, 12.992095, 13, 11;
2, 14.264244, -0.626896, 14.274476, 1672, 13;
2, 16.149392, -0.513361, 16.163040, 1258, 1672;
2, 17.715503, -0.323381, 17.740631, 1878, 1258;
2, 18.805945, -0.228097, 18.835228, 21, 1878;
2, 20.606097, -0.393858, 20.642996, 1962, 21;
2, 22.427731, -0.466169, 22.466064, 1978, 1962;
2, 24.201941, -0.137749, 24.270415, 365, 1978;
2, 25.271842, -0.108389, 25.357463, 358, 365;
2, 26.694329, 0.047353, 26.788450, 1705, 358;
2, 28.583448, 0.120603, 28.678989, 265, 1705;
2, 29.974656, 0.102421, 30.070316, 1980, 265;
2, 31.566445, 0.368507, 31.684191, 1807, 1980;
2, 33.432085, 0.213559, 33.556254, 2067, 1807;
2, 34.376237, 0.212244, 34.500407, 47, 2067;
2, 35.490173, 0.340730, 35.621729, 2083, 47;
2, 37.450926, 0.595497, 37.598964, 2160, 2083;
2, 38.691864, 0.411747, 38.853432, 1680, 2160;
2, 40.197002, 0.522764, 40.427765, 1492, 1680;
2, 41.995571, 0.521755, 42.226335, 2184, 1492;
2, 43.216221, 0.289742, 43.468839, 68, 2184;
2, 44.381651, 0.365568, 44.636733, 2240, 68;
2, 44.764831, 0.277840, 45.029827, 1547, 2240;
2, 46.494931, -0.111246, 46.818869, 432, 1547;
2, 48.489828, -0.167849, 48.819406, 755, 432;
2, 50.066509, 0.075573, 50.414766, 1910, 755;
2, 51.832496, -0.152418, 52.195411, 1725, 1910;
2, 53.080444, -0.124378, 53.488893, 1085, 1725;
2, 54.737833, -0.489683, 55.229385, 1539, 1085;
2, 56.420856, -0.980813, 56.982604, 1698, 1539;
2, 57.335008, -0.878975, 57.902411, 1214, 1698;
2, 58.515602, -0.807618, 59.168167, 86, 1214;
2, 60.506397, -0.631617, 61.167411, 89, 86;
2, 62.488596, -0.478560, 63.155510, 92, 89;
2, 63.488593, -0.475905, 64.155510, 95, 92;
2, 65.487574, -0.456110, 66.154590, 98, 95;
2, 67.487547, -0.448582, 68.154577, 102, 98;
2, 69.487463, -0.445149, 70.154496, 104, 102;
2, 71.482410, -0.525697, 72.151068, 109, 104;
2, 73.482034, -0.556505, 74.150929, 111, 109;
2, 75.481408, -0.602070, 76.150822, 114, 111;
2, 77.479961, -0.551517, 78.150015, 116, 114;
2, 78.479817, -0.534531, 79.150015, 120, 116;
2, 80.477349, -0.463829, 81.148797, 122, 120;
2, 82.475121, -0.410605, 83.147279, 124, 122;
2, 83.475071, -0.400633, 84.147279, 125, 124;
2, 85.414688, -0.057355, 86.117038, 128, 125;
2, 87.411964, -0.005572, 88.114986, 130, 128;
2, 88.411811, 0.011952, 89.114986, 131, 130;
2, 89.474390, 0.048324, 90.178187, 1440, 131;
2, 91.408642, 0.125007, 92.113959, 139, 1440;
2, 92.937816, 0.163514, 93.643618, 2080, 139;
2, 93.406331, 0.187223, 94.112732, 142, 2080;
2, 95.376208, 0.255981, 96.083873, 694, 142;
2, 96.780605, 0.285112, 97.488573, 1593, 694;
2, 98.345754, -0.053071, 99.089841, 240, 1593;
2, 99.578981, -0.175684, 100.329148, 1963, 240;
2, 100.144376, -0.249583, 100.899352, 894, 1963;
2, 101.983014, -0.383079, 102.770069, 577, 894;
2, 103.284557, -0.441722, 104.072933, 898, 577;
2, 105.201850, -0.548144, 105.993177, 1897, 898;
2, 105.988558, -0.500975, 106.781298, 378, 1897;
2, 107.716408, -0.598527, 108.528833, 1604, 378;
2, 109.114525, -0.609029, 109.926990, 185, 1604;
2, 110.794004, -0.446975, 111.614268, 1780, 185;
2, 111.519433, -0.627016, 112.361705, 697, 1780;
2, 112.768528, -1.072355, 113.687814, 1919, 697;
2, 114.494239, -1.138779, 115.414803, 1795, 1919;
2, 115.818043, -0.948282, 116.782392, 1324, 1795;
2, 116.704307, -0.938086, 117.668715, 2188, 1324;
2, 118.079037, -0.447401, 119.128390, 1495, 2188;
2, 119.104018, -0.441366, 120.235655, 211, 1495;
2, 120.104013, -0.438450, 121.235756, 217, 211;
2, 121.877283, -0.324612, 123.012676, 1251, 217;
2, 123.520305, -0.251030, 124.657344, 1464, 1251;
2, 124.775721, -0.252232, 125.912761, 2102, 1464;
2, 126.071596, -0.160090, 127.211908, 233, 2102;
2, 128.071189, -0.161088, 129.219554, 242, 233;
2, 130.071014, -0.187504, 131.219553, 247, 242;
2, 132.064718, -0.241045, 133.213976, 250, 247;
2, 133.064712, -0.237573, 134.213976, 251, 250;
2, 134.172700, -0.248943, 135.322022, 1876, 251;
2, 136.059084, -0.207412, 137.208863, 263, 1876;
2, 138.058558, -0.174069, 139.208619, 280, 263;
2, 140.057033, -0.123555, 141.207732, 293, 280;
2, 142.051386, 0.008963, 143.206483, 318, 293;
2, 143.048052, 0.090562, 144.206483, 332, 318;
2, 144.916530, 0.238931, 146.080843, 348, 332;
2, 146.107330, 0.225518, 147.271718, 1847, 348;
2, 147.166154, 0.217832, 148.330570, 876, 1847;
2, 148.854427, -0.003899, 150.037711, 1712, 876;
2, 150.710095, 0.017887, 151.893507, 1110, 1712;
2, 152.575847, -0.185527, 153.770314, 2112, 1110;
2, 154.432082, -0.385136, 155.637251, 772, 2112;
2, 155.561994, -0.506457, 156.808943, 2069, 772;
2, 156.913508, -0.530506, 158.160671, 1592, 2069;
2, 158.051743, -0.423350, 159.305049, 2003, 1592;
2, 159.516992, -0.270632, 160.778235, 521, 2003;
2, 160.287660, -0.204682, 161.551720, 2159, 521;
2, 160.867058, -0.211703, 162.131160, 1646, 2159;
2, 162.438403, -0.003472, 163.742569, 2088, 1646;
2, 163.741723, -0.526642, 165.146972, 2140, 2088;
2, 165.453848, -0.636090, 166.862591, 480, 2140;
2, 166.885154, -0.858983, 168.565848, 1752, 480;
2, 168.825872, -0.908591, 170.507200, 1922, 1752;
2, 170.581697, -1.030295, 172.267239, 559, 1922;
2, 172.381737, -0.711402, 174.095307, 2028, 559;
2, 174.351554, -0.638917, 176.066458, 1998, 2028;
2, 176.046196, -0.416085, 177.775687, 2176, 1998;
2, 177.833133, -0.097866, 179.590737, 873, 2176;
2, 179.432837, 0.312121, 181.242144, 2304, 873;
3, 0.000000, -1.000000, 0.000000, 0, -1;
3, 1.999692, -0.965199, 1.999995, 2, 0;
3, 3.999597, -0.949934, 3.999958, 4, 2;
3, 5.999143, -0.927156, 5.999633, 6, 4;
3, 6.999125, -0.921230, 6.999633, 7, 6;
3, 8.394946, -0.892563, 8.395748, 1336, 7;
3, 9.276391, -0.851366, 9.278155, 1521, 1336;
3, 10.987046, -0.760094, 10.991244, 11, 1521;
3, 12.986783, -0.739107, 12.992095, 13, 11;
3, 14.264244, -0.626896, 14.274476, 1672, 13;
3, 16.149392, -0.513361, 16.163040, 1258, 1672;
3, 17.715503, -0.323381, 17.740631, 1878, 1258;
3, 18.805945, -0.228097, 18.835228, 21, 1878;
3, 20.606097, -0.393858, 20.642996, 1962, 21;
3, 22.427731, -0.466169, 22.466064, 1978, 1962;
3, 24.201941, -0.137749, 24.270415, 365, 1978;
3, 25.271842, -0.108389, 25.357463, 358, 365;
3, 26.694329, 0.047353, 26.788450, 1705, 358;
3, 28.583448, 0.120603, 28.678989, 265, 1705;
3, 29.974656, 0.102421, 30.070316, 1980, 265;
3, 31.566445, 0.368507, 31.684191, 1807, 1980;
3, 33.432085, 0.213559, 33.556254, 2067, 1807;
3, 34.376237, 0.212244, 34.500407, 47, 2067;
3, 35.490173, 0.340730, 35.621729, 2083, 47;
3, 37.450926, 0.595497, 37.598964, 2160, 2083;
3, 38.691864, 0.411747, 38.853432, 1680, 2160;
3, 40.197002, 0.522764, 40.427765, 1492, 1680;
3, 41.995571, 0.521755, 42.226335, 2184, 1492;
3, 43.216221, 0.289742, 43.468839, 68, 2184;
3, 44.381651, 0.365568, 44.636733, 2240, 68;
3, 44.764831, 0.277840, 45.029827, 1547, 2240;
3, 46.494931, -0.111246, 46.818869, 432, 1547;
3, 48.052093, 0.162777, 48.404795, 722, 432;
3, 48.657927, 0.237672, 49.015240, 583, 722;
3, 50.412522, 0.421603, 50.779450, 888, 583;
3, 51.280625, 0.434415, 51.647647, 518, 888;
3, 53.007185, 0.209791, 53.388758, 1168, 518;
3, 53.735643, 0.111344, 54.123838, 175, 1168;
3, 55.360818, 0.170133, 55.750076, 2061, 175;
3, 56.097538, 0.071606, 56.493355, 306, 2061;
3, 57.394124, 0.019699, 57.790979, 2278, 306;
3, 58.479696, -0.309039, 58.925235, 1940, 2278;
3, 59.562663, -0.537361, 60.032009, 2339, 1940;
3, 60.506397, -0.631617, 60.980438, 89, 2339;
3, 62.488596, -0.478560, 63.155510, 92, 89;
3, 63.488593, -0.475905, 64.155510, 95, 92;
3, 65.487574, -0.456110, 66.154590, 98, 95;
3, 67.487547, -0.448582, 68.154577, 102, 98;
3, 69.487463, -0.445149, 70.154496, 104, 102;
3, 71.482410, -0.525697, 72.151068, 109, 104;
3, 73.482034, -0.556505, 74.150929, 111, 109;
3, 75.481408, -0.602070, 76.150822, 114, 111;
3, 77.479961, -0.551517, 78.150015, 116, 114;
3, 78.479817, -0.534531, 79.150015, 120, 116;
3, 80.477349, -0.463829, 81.148797, 122, 120;
