x, y, cost, index, parent_index;
434.033903, 10.716590, 435.900271, 132, 48;
941.865754, 19.964053, 943.938399, 133, 121;
351.501382, 13.274240, 353.600936, 134, 82;
42.569569, 1.560666, 44.160166, 135, 5;
951.856984, 19.545332, 953.926728, 136, 131;
922.777385, 11.312857, 925.836040, 137, 117;
961.847849, 19.972656, 963.918888, 138, 131;
905.200425, 9.902332, 908.362246, 139, 127;
971.846487, 19.807597, 973.916171, 140, 131;
802.098576, 7.902182, 805.938855, 141, 97;
981.842300, 19.518264, 983.912057, 142, 136;
991.837592, 19.211448, 993.908731, 143, 136;
29.766185, 8.183790, 34.880883, 144, 0;
1001.836768, 19.083035, 1003.908731, 145, 143;
1011.828452, 19.490777, 1013.898221, 146, 142;
680.996540, 8.227396, 683.417798, 147, 80;
1021.818927, 19.054421, 1023.890477, 148, 143;
1031.815063, 19.332391, 1033.885460, 149, 146;
1041.814827, 19.263796, 1043.885456, 150, 146;
574.072626, 11.883698, 575.982167, 151, 65;
903.995203, 17.360910, 906.076814, 152, 127;
1051.810905, 18.983736, 1053.882538, 153, 148;
1061.772273, 18.105589, 1063.855088, 154, 148;
317.836280, 2.284957, 319.524401, 155, 31;
342.151935, 15.517012, 344.644382, 156, 82;
482.047499, 12.994883, 483.912121, 157, 53;
912.643230, 3.223661, 917.554084, 158, 127;
1071.772255, 18.086733, 1073.855088, 159, 154;
1081.771594, 17.971751, 1083.854857, 160, 154;
1091.751054, 18.612360, 1093.824414, 161, 153;
1101.740190, 19.078366, 1103.824414, 162, 161;
962.784775, 10.665210, 966.136293, 163, 131;
496.229743, 15.638734, 498.109826, 164, 56;
1111.740185, 19.067782, 1113.818732, 165, 161;
1121.740107, 19.107291, 1123.817550, 166, 161;
1131.739979, 19.157839, 1133.817059, 167, 161;
488.772459, 12.641774, 490.646346, 168, 157;
1141.739858, 19.108673, 1143.817059, 169, 167;
753.884075, 10.725714, 756.853609, 170, 92;
1045.457570, 9.950878, 1048.854297, 171, 146;
827.654374, 10.687283, 830.472464, 172, 99;
1151.709082, 19.892625, 1153.796139, 173, 165;
1161.703814, 19.568090, 1163.783703, 174, 167;
1171.515274, 17.635408, 1173.621479, 175, 167;
959.783713, 8.685241, 962.908247, 176, 137;
584.230548, 1.855390, 587.726640, 177, 113;
884.990760, 11.536450, 887.916128, 178, 110;
1181.515141, 17.686938, 1183.617743, 179, 169;
1191.515131, 17.672823, 1193.617743, 180, 179;
1201.503224, 17.184965, 1203.612128, 181, 179;
969.368134, 5.832367, 972.908247, 182, 176;
875.637869, 14.510180, 877.977169, 183, 106;
644.095155, 4.775994, 646.789595, 184, 123;
1211.502170, 17.039770, 1213.611754, 185, 179;
1221.502100, 17.077008, 1223.609354, 186, 179;
244.672495, 19.617916, 247.514138, 187, 130;
1231.498559, 17.343126, 1233.602530, 188, 180;
1241.469505, 18.104852, 1243.588994, 189, 181;
1182.521088, 7.737663, 1186.918984, 190, 173;
562.458994, 14.194400, 564.336170, 191, 64;
296.641672, 9.428271, 298.452350, 192, 29;
830.947174, 1.244960, 835.545615, 193, 141;
338.665641, 17.154465, 341.328909, 194, 39;
1100.106620, 13.943157, 1102.414756, 195, 154;
1082.258295, 7.983602, 1085.707568, 196, 171;
1070.617947, 12.375223, 1073.307104, 197, 149;
977.999277, 12.940708, 980.748165, 198, 133;
1134.761175, 19.103030, 1136.838620, 199, 166;
1078.241462, 5.903591, 1081.887071, 200, 171;
476.085268, 14.046083, 477.938556, 201, 53;
746.510946, 12.800686, 749.067821, 202, 91;
1251.462474, 17.729923, 1253.570192, 203, 188;
730.608155, 18.920095, 732.624524, 204, 91;
1261.284043, 19.610556, 1263.460659, 205, 189;
1271.168878, 18.097267, 1273.280017, 206, 188;
1281.164391, 17.797746, 1283.272187, 207, 203;
1291.149584, 17.253758, 1293.260159, 208, 203;
1290.072077, 14.228444, 1292.338243, 209, 203;
359.181427, 2.441328, 361.203480, 210, 37;
1301.149174, 17.344345, 1303.260159, 211, 208;
1311.143278, 17.687692, 1313.251275, 212, 207;
970.268217, 15.329043, 972.581159, 213, 131;
1320.976253, 19.507749, 1323.120755, 214, 207;
492.604470, 15.951190, 494.497779, 215, 55;
1330.973283, 19.751442, 1333.120755, 216, 214;
898.549079, 8.751756, 901.600950, 217, 183;
1031.689954, 13.359149, 1034.305698, 218, 145;
1212.996961, 7.152121, 1216.815444, 219, 179;
788.130780, 18.011352, 790.155177, 220, 96;
1340.972747, 19.647950, 1343.117742, 221, 214;
470.386354, 7.619750, 472.384392, 222, 132;
154.492024, 19.000987, 158.983669, 223, 47;
617.074899, 18.418950, 619.256049, 224, 71;
582.508899, 3.571548, 585.604210, 225, 113;
64.343319, 10.889779, 67.673426, 226, 5;
262.754166, 5.183621, 264.321303, 227, 26;
252.140253, 11.274999, 254.217815, 228, 24;
407.710933, 3.575308, 409.789901, 229, 43;
82.918704, 11.733922, 86.098496, 230, 7;
1.307806, 3.032251, 13.097707, 231, 0;
591.359942, 2.426469, 594.524736, 232, 113;
701.463728, 17.115775, 703.444320, 233, 122;
282.454288, 15.455700, 284.818779, 234, 228;
1151.925272, 9.894962, 1155.377196, 235, 166;
901.600197, 19.384091, 903.668679, 236, 115;
490.264909, 5.301380, 492.397682, 237, 222;
1130.687267, 16.688323, 1132.808136, 238, 161;
1350.900450, 18.447650, 1353.015710, 239, 212;
353.719871, 8.125182, 355.350948, 240, 34;
1360.879940, 19.087784, 1363.015710, 241, 239;
1370.870642, 19.518931, 1373.014615, 242, 239;
1186.906546, 6.040724, 1190.299140, 243, 235;
1380.865226, 19.847983, 1383.010722, 244, 221;
1114.070015, 9.342974, 1117.116392, 245, 195;
465.606402, 1.380889, 468.824092, 246, 132;
622.459740, 7.321888, 625.030296, 247, 73;
293.423392, 7.766843, 295.067739, 248, 28;
1390.864144, 19.700873, 1392.999049, 249, 239;
